Source,Target,interaction_type,group
Jasper Deng,Hatto,MODIFIED,taylor_swift
62.171.198.5,Stryn,MODIFIED,taylor_swift
Snow Blizzard,62.171.198.5,MODIFIED,taylor_swift
VIAFbot,Stryn,MODIFIED,taylor_swift
SamoaBot,MineoBot,MODIFIED,taylor_swift
VIAFbot,Snow Blizzard,MODIFIED,taylor_swift
Lolnowbu,VIAFbot,MODIFIED,taylor_swift
Lolnowbu,VIAFbot,MODIFIED,taylor_swift
Lolnowbu,Stryn,MODIFIED,taylor_swift
Lolnowbu,Snow Blizzard,MODIFIED,taylor_swift
Lolnowbu,Snow Blizzard,MODIFIED,taylor_swift
SamoaBot,Lolnowbu,MODIFIED,taylor_swift
SamoaBot,Lolnowbu,MODIFIED,taylor_swift
Okras,SamoaBot,MODIFIED,taylor_swift
Legobot,Legoktm,MODIFIED,taylor_swift
Zuphilip,Legobot,MODIFIED,taylor_swift
Kenna 1D lover Niall,KrBot,MODIFIED,taylor_swift
Kenna 1D lover Niall,Legobot,MODIFIED,taylor_swift
Rschen7754,Kenna 1D lover Niall,MODIFIED,taylor_swift
